"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3VC69NBE","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=2c3FM_ZRvz0C","","1860","2021-01-15 13:42:00","2021-01-29 11:13:04","","","64","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","Google-Books-ID: 2c3FM_ZRvz0C","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QMPFRJ8","book","1864","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=AJ1QLiWDPLYC","","1864","2021-01-15 13:42:00","2021-01-29 11:14:35","","","28","","7","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94BHTAWR","book","1863","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=MUTb3jp1Wb8C","","1863","2021-01-15 13:42:00","2021-01-29 11:14:07","","","40","","6","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TN6AGLV2","book","1862","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=efAvWQsPhJYC","","1862","2021-01-15 13:42:00","2021-01-29 11:13:47","","","344","","5","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGRKP8MR","book","1865","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=2VTv1mvpgpIC","","1865","2021-01-15 13:42:00","2021-01-29 11:15:00","","","296","","8","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBD498TF","book","1861","","Laurens Coster : tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","","","1861","2021-01-15 13:42:00","2021-01-29 10:43:06","","","","","4","","","","","","","","","","","","","NL-HlmNHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-12?","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2CUT46J","book","1866","","Laurens Coster : tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","","","1866","2021-01-15 13:42:00","2021-01-15 13:42:00","","","","","9","","","","","","","","","","","","","UB Utrecht","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-12?","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTQ9HT7Q","book","1867","","Laurens Coster : tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","","","1867","2021-01-15 13:42:00","2021-01-15 13:42:00","","","","","10","","","","","","","","","","","","","UB Utrecht","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XMKIGTA","manuscript","","","Archief Algemene Nederlandse Grafische Bond","","","","","https://hdl.handle.net/10622/ARCH01707","","","2021-01-15 13:43:32","2021-01-29 15:26:36","","","","","","","","","","","","","","","","","fonds","NL-AsdIISG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MJDD85M","manuscript","1866","","Meijer, W.J. : diploma als lid der typographische vereeniging De Nederlandsche Drukpers N.B. Tevens bewijs van lidmaatschap","","","","","https://archief.amsterdam/inventarissen/file/37d20b50bc9f3c5df22a79856f809c4c","","1866","2021-01-15 13:43:32","2021-01-29 10:03:39","","","","","","","","","","","","","","","","","item","NL-AsdSAA","","","2266","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QPQZLFSJ","manuscript","1865","Meyer, J.E; Wertheim","Brief van Typographische Vereeniging Voorzorg en Genoegen geschreven door J.E. Meyer aan Typographische Vereeniging De Nederlandsche Drukpers gericht aan Wertheim","","","","","http://www.worldcat.org/oclc/846530711","","1865","2021-01-15 13:43:32","2021-01-29 15:28:22","","","","","","","","","","","","","","","nl","","item","NL-AsdUvA","","","","","","","","amsterdam1857-1; amsterdam1849","","","","","Wertheim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KE2U6GM","manuscript","1861","Kreyts, A.J","Brieven van de Typographische Vereeniging Voorzorg en Genoegen geschreven door A.J. Kreyts aan de Typographische Vereeniging De Nederlandsche drukpers","","","","","http://www.worldcat.org/oclc/846514289","","1861","2021-01-15 13:43:32","2021-01-29 15:28:03","","","","","","","","","","","","","","","","","file","NL-AsdUvA","","","","","","","","amsterdam1857-1; amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVP8G4AM","manuscript","1860","Grevenstuk, Antonie","Brieven van Antonie Grevenstuk aan de Typographische Vereeniging De Nederlandsche Drukpers te Amsterdam","","","","","http://www.worldcat.org/oclc/846506111","","1860","2021-01-15 13:43:32","2021-01-29 15:27:55","","","","","","","","","","","","","","","nl","","file","NL-AsdUvA","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8B5UQJCK","manuscript","","Beet, H.J. de","Brief van H.J. de Beet aan Bestuur der Typographische Vereeniging De Nederlandsche Drukpers Amsterdam","","","","","http://www.worldcat.org/oclc/846487509","","","2021-01-15 13:43:32","2021-01-29 15:28:30","","","","","","","","","","","","","","","nl","","item","NL-AsdUvA","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42VMDF3T","manuscript","1862","Wildschut, J.A","Brief van J.A. Wildschut aan de Bestuurderen der Typographische Vereeniging ""De Nederlandsche Drukpers"" te Amsterdam","","","","","http://www.worldcat.org/oclc/846511461","","1862","2021-01-15 13:43:32","2021-01-29 15:28:13","","","","","","","","","","","","","","","nl","","item","NL-AsdUvA","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G6AVUSS8","manuscript","1851","","Diploma voor ... der typographische vereeniging: De Nederlandsche Drukpers, opgerigt te Amsterdam, den 23 Februarij 1857","","","","","http://www.worldcat.org/oclc/150245053","","1851","2021-01-15 13:43:32","2021-01-29 15:26:57","","","","","","","","","","","","","","","nl","","item","NL-AsdUvA","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VG3F5TBP","manuscript","1856","","Map met stukken betreffende de onthulling van het standbeeld van Laurens Janszoon Coster","","","","","http://www.worldcat.org/oclc/1155090416","","1856","2021-01-15 13:43:32","2021-01-29 15:25:02","","","","","","","","","","","","","","","nl","","file","NL-0100030000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
